Repository Name,Repository URL
IBM_cloud_docs_python_for_DS,https://github.com/ibm-skills-network/IBM_cloud_docs_python_for_DS
IBM_cloud_docs_data_analyst_with_python,https://github.com/ibm-skills-network/IBM_cloud_docs_data_analyst_with_python
eslint-config-apset,https://github.com/ibm-skills-network/eslint-config-apset
portals,https://github.com/ibm-skills-network/portals
edx-platform,https://github.com/ibm-skills-network/edx-platform
edx-platform-juniper,https://github.com/ibm-skills-network/edx-platform-juniper
yaml2po,https://github.com/ibm-skills-network/yaml2po
percona-helm-charts,https://github.com/ibm-skills-network/percona-helm-charts
pontoon,https://github.com/ibm-skills-network/pontoon
charts,https://github.com/ibm-skills-network/charts
pontoon-fork,https://github.com/ibm-skills-network/pontoon-fork
cs_comments_service,https://github.com/ibm-skills-network/cs_comments_service
tutor,https://github.com/ibm-skills-network/tutor
xblock-lti-consumer-extended,https://github.com/ibm-skills-network/xblock-lti-consumer-extended
edx-themes,https://github.com/ibm-skills-network/edx-themes
openedx-i18n,https://github.com/ibm-skills-network/openedx-i18n
portal-kubernetes-deployments,https://github.com/ibm-skills-network/portal-kubernetes-deployments
edx-course-team-api,https://github.com/ibm-skills-network/edx-course-team-api
edx-manager-access-api,https://github.com/ibm-skills-network/edx-manager-access-api
action-ibmcloud-cli,https://github.com/ibm-skills-network/action-ibmcloud-cli
security-compliance-automation,https://github.com/ibm-skills-network/security-compliance-automation
glados-translation,https://github.com/ibm-skills-network/glados-translation
labs-deploy,https://github.com/ibm-skills-network/labs-deploy
vault-oidc-proxy,https://github.com/ibm-skills-network/vault-oidc-proxy
ibm-charts,https://github.com/ibm-skills-network/ibm-charts
rook-kustomize,https://github.com/ibm-skills-network/rook-kustomize
helm-chart-releases,https://github.com/ibm-skills-network/helm-chart-releases
author-workbench,https://github.com/ibm-skills-network/author-workbench
olx-cli,https://github.com/ibm-skills-network/olx-cli
omniauth-open-edx,https://github.com/ibm-skills-network/omniauth-open-edx
curator,https://github.com/ibm-skills-network/curator
ueberauth_ibmid,https://github.com/ibm-skills-network/ueberauth_ibmid
markdown-linkify,https://github.com/ibm-skills-network/markdown-linkify
npm-registry,https://github.com/ibm-skills-network/npm-registry
compete,https://github.com/ibm-skills-network/compete
labs-notification-consumer,https://github.com/ibm-skills-network/labs-notification-consumer
catalog,https://github.com/ibm-skills-network/catalog
bbb_recording_downloader,https://github.com/ibm-skills-network/bbb_recording_downloader
configuration,https://github.com/ibm-skills-network/configuration
mdast-util-gfm,https://github.com/ibm-skills-network/mdast-util-gfm
docker-library,https://github.com/ibm-skills-network/docker-library
replication-controller,https://github.com/ibm-skills-network/replication-controller
feedback-xblock,https://github.com/ibm-skills-network/feedback-xblock
guided-project-template-simple,https://github.com/ibm-skills-network/guided-project-template-simple
tailwind-ui-archive,https://github.com/ibm-skills-network/tailwind-ui-archive
wiki-old,https://github.com/ibm-skills-network/wiki-old
reward,https://github.com/ibm-skills-network/reward
author-ide,https://github.com/ibm-skills-network/author-ide
theia-full,https://github.com/ibm-skills-network/theia-full
learner-sandbox-account,https://github.com/ibm-skills-network/learner-sandbox-account
portals-test-suite,https://github.com/ibm-skills-network/portals-test-suite
ann,https://github.com/ibm-skills-network/ann
learner-metadata,https://github.com/ibm-skills-network/learner-metadata
ui,https://github.com/ibm-skills-network/ui
rstudio,https://github.com/ibm-skills-network/rstudio
dice,https://github.com/ibm-skills-network/dice
jupyterlab,https://github.com/ibm-skills-network/jupyterlab
usher,https://github.com/ibm-skills-network/usher
config,https://github.com/ibm-skills-network/config
api-gateway,https://github.com/ibm-skills-network/api-gateway
jupyterlab-github,https://github.com/ibm-skills-network/jupyterlab-github
jupyterlab_ads,https://github.com/ibm-skills-network/jupyterlab_ads
jupyterhub-tool-reverse-proxy,https://github.com/ibm-skills-network/jupyterhub-tool-reverse-proxy
init-theia-full,https://github.com/ibm-skills-network/init-theia-full
puke,https://github.com/ibm-skills-network/puke
plcr,https://github.com/ibm-skills-network/plcr
