Repository Name,Repository URL,Tech Stack,Languages
IBM_cloud_docs_python_for_DS,https://github.com/ibm-skills-network/IBM_cloud_docs_python_for_DS,,HTML
IBM_cloud_docs_data_analyst_with_python,https://github.com/ibm-skills-network/IBM_cloud_docs_data_analyst_with_python,,HTML
eslint-config-apset,https://github.com/ibm-skills-network/eslint-config-apset,,JavaScript
portals,https://github.com/ibm-skills-network/portals,,"Ruby,Slim,HTML"
edx-platform,https://github.com/ibm-skills-network/edx-platform,,"Python,JavaScript,HTML"
yaml2po,https://github.com/ibm-skills-network/yaml2po,,Ruby
pontoon,https://github.com/ibm-skills-network/pontoon,,
charts,https://github.com/ibm-skills-network/charts,,Smarty
xblock-lti-consumer-extended,https://github.com/ibm-skills-network/xblock-lti-consumer-extended,,"Python,HTML,JavaScript"
edx-themes,https://github.com/ibm-skills-network/edx-themes,,"HTML,SCSS"
openedx-i18n,https://github.com/ibm-skills-network/openedx-i18n,,"Dockerfile,Makefile,Python"
portal-kubernetes-deployments,https://github.com/ibm-skills-network/portal-kubernetes-deployments,,"Python,JavaScript,HCL"
edx-course-team-api,https://github.com/ibm-skills-network/edx-course-team-api,,"Python,HTML"
edx-manager-access-api,https://github.com/ibm-skills-network/edx-manager-access-api,,"Python,Makefile"
action-ibmcloud-cli,https://github.com/ibm-skills-network/action-ibmcloud-cli,,Shell
security-compliance-automation,https://github.com/ibm-skills-network/security-compliance-automation,,"Python,Dockerfile,Go"
glados-translation,https://github.com/ibm-skills-network/glados-translation,,
labs-deploy,https://github.com/ibm-skills-network/labs-deploy,"labs,deploy,terraform,helmfile,helm,kubernetes,openshift","HCL,Python,Shell"
rook-kustomize,https://github.com/ibm-skills-network/rook-kustomize,,
helm-chart-releases,https://github.com/ibm-skills-network/helm-chart-releases,,
author-workbench,https://github.com/ibm-skills-network/author-workbench,,"Ruby,HTML,JavaScript"
olx-cli,https://github.com/ibm-skills-network/olx-cli,,"JavaScript,Batchfile"
omniauth-open-edx,https://github.com/ibm-skills-network/omniauth-open-edx,"omniauth,omniauth-strategy,omniauth-oauth2,open-edx","Ruby,Shell"
curator,https://github.com/ibm-skills-network/curator,faculty,"Elixir,HTML,JavaScript"
ueberauth_ibmid,https://github.com/ibm-skills-network/ueberauth_ibmid,,Elixir
markdown-linkify,https://github.com/ibm-skills-network/markdown-linkify,,"JavaScript,Jupyter Notebook,CSS"
npm-registry,https://github.com/ibm-skills-network/npm-registry,,
compete,https://github.com/ibm-skills-network/compete,,"Elixir,HTML,JavaScript"
catalog,https://github.com/ibm-skills-network/catalog,,"JavaScript,CSS"
bbb_recording_downloader,https://github.com/ibm-skills-network/bbb_recording_downloader,,"Elixir,Dockerfile"
replication-controller,https://github.com/ibm-skills-network/replication-controller,,
feedback-xblock,https://github.com/ibm-skills-network/feedback-xblock,,"Python,JavaScript,HTML"
guided-project-template-simple,https://github.com/ibm-skills-network/guided-project-template-simple,,
tailwind-ui-archive,https://github.com/ibm-skills-network/tailwind-ui-archive,,"HTML,JavaScript,Vue"
wiki-old,https://github.com/ibm-skills-network/wiki-old,nocode,HTML
reward,https://github.com/ibm-skills-network/reward,,"Ruby,HTML,Dockerfile"
author-ide,https://github.com/ibm-skills-network/author-ide,,"JavaScript,Handlebars,CSS"
theia-full,https://github.com/ibm-skills-network/theia-full,,"TypeScript,Shell,Dockerfile"
portals-test-suite,https://github.com/ibm-skills-network/portals-test-suite,portals,JavaScript
learner-metadata,https://github.com/ibm-skills-network/learner-metadata,,"Ruby,HTML,Shell"
ui,https://github.com/ibm-skills-network/ui,,"CSS,Python,Jinja"
rstudio,https://github.com/ibm-skills-network/rstudio,,"Makefile,Dockerfile,Shell"
jupyterlab,https://github.com/ibm-skills-network/jupyterlab,,"Dockerfile,Makefile,Shell"
usher,https://github.com/ibm-skills-network/usher,,"Ruby,HTML,Dockerfile"
config,https://github.com/ibm-skills-network/config,,"Ruby,Dockerfile,Shell"
api-gateway,https://github.com/ibm-skills-network/api-gateway,,"JavaScript,Shell,Dockerfile"
jupyterhub-tool-reverse-proxy,https://github.com/ibm-skills-network/jupyterhub-tool-reverse-proxy,,"JavaScript,Dockerfile"
init-theia-full,https://github.com/ibm-skills-network/init-theia-full,,"TypeScript,Shell,JavaScript"
puke,https://github.com/ibm-skills-network/puke,,"TypeScript,JavaScript,Shell"
user-application-reverse-proxy,https://github.com/ibm-skills-network/user-application-reverse-proxy,,"TypeScript,Shell,JavaScript"
cleaner,https://github.com/ibm-skills-network/cleaner,,"TypeScript,Shell,JavaScript"
grading-service,https://github.com/ibm-skills-network/grading-service,,"TypeScript,Dockerfile,Shell"
datasette,https://github.com/ibm-skills-network/datasette,,"Python,HTML,CSS"
cvstudio,https://github.com/ibm-skills-network/cvstudio,,"Jupyter Notebook,JavaScript,CSS"
manage_user_storage,https://github.com/ibm-skills-network/manage_user_storage,,"Elixir,Dockerfile,Shell"
cc-dashboard,https://github.com/ibm-skills-network/cc-dashboard,,"JavaScript,Ruby,SCSS"
lp-certs,https://github.com/ibm-skills-network/lp-certs,,"JavaScript,Pug,Shell"
pinger,https://github.com/ibm-skills-network/pinger,,"JavaScript,Shell,Dockerfile"
cube-js-backend,https://github.com/ibm-skills-network/cube-js-backend,,"JavaScript,Dockerfile,Shell"
social-core-addon,https://github.com/ibm-skills-network/social-core-addon,,Python
social-core-ibm,https://github.com/ibm-skills-network/social-core-ibm,,Python
xblocks,https://github.com/ibm-skills-network/xblocks,,"Python,JavaScript,HTML"
badge-issuer,https://github.com/ibm-skills-network/badge-issuer,,"Python,Dockerfile"
wufoo-competition-webhook,https://github.com/ibm-skills-network/wufoo-competition-webhook,,"JavaScript,Shell,Dockerfile"
sn-edx-middleware,https://github.com/ibm-skills-network/sn-edx-middleware,,"Python,Makefile"
portal-ansible-playbook,https://github.com/ibm-skills-network/portal-ansible-playbook,,"Shell,Dockerfile,Python"
portal-registration-consumer,https://github.com/ibm-skills-network/portal-registration-consumer,,"TypeScript,JavaScript,Dockerfile"
edx-instructor-enrollment-api,https://github.com/ibm-skills-network/edx-instructor-enrollment-api,,"Python,Makefile"
portal-insights,https://github.com/ibm-skills-network/portal-insights,,"TypeScript,Handlebars,HTML"
edx-courses-api,https://github.com/ibm-skills-network/edx-courses-api,,"Python,Makefile,HTML"
edx-reports-api,https://github.com/ibm-skills-network/edx-reports-api,,"Python,Makefile,HTML"
edx-dark-lang-management,https://github.com/ibm-skills-network/edx-dark-lang-management,,"Python,Makefile,HTML"
tutor-config,https://github.com/ibm-skills-network/tutor-config,,"Shell,Makefile"
get-a-portal,https://github.com/ibm-skills-network/get-a-portal,,"Elixir,HTML,SCSS"
portal-manager-demo,https://github.com/ibm-skills-network/portal-manager-demo,,
ansible-developer-onboarding,https://github.com/ibm-skills-network/ansible-developer-onboarding,,"Shell,Jinja"
slack-nats-consumer,https://github.com/ibm-skills-network/slack-nats-consumer,,"TypeScript,Shell,JavaScript"
sn-messaging-ts-client,https://github.com/ibm-skills-network/sn-messaging-ts-client,,"TypeScript,JavaScript"
mongodb-sn-consumer,https://github.com/ibm-skills-network/mongodb-sn-consumer,,"TypeScript,JavaScript,Dockerfile"
weekly-releases,https://github.com/ibm-skills-network/weekly-releases,,"Python,Jinja,Shell"
web-sn-producer,https://github.com/ibm-skills-network/web-sn-producer,,"TypeScript,Shell,JavaScript"
pagerduty-consumer,https://github.com/ibm-skills-network/pagerduty-consumer,,"TypeScript,JavaScript,Shell"
template-helm-secrets,https://github.com/ibm-skills-network/template-helm-secrets,,"Shell,Makefile"
cookiecutter-sn-typescript,https://github.com/ibm-skills-network/cookiecutter-sn-typescript,,"TypeScript,Shell,Dockerfile"
translations,https://github.com/ibm-skills-network/translations,,Fluent
glados-translations,https://github.com/ibm-skills-network/glados-translations,,
portals-snapshot-test,https://github.com/ibm-skills-network/portals-snapshot-test,,JavaScript
glados-translations-staging,https://github.com/ibm-skills-network/glados-translations-staging,,
tailwindui-archive,https://github.com/ibm-skills-network/tailwindui-archive,,HTML
H5P,https://github.com/ibm-skills-network/H5P,,"CSS,Python,JavaScript"
sn-curation-event-consumer,https://github.com/ibm-skills-network/sn-curation-event-consumer,,"TypeScript,Shell,JavaScript"
template,https://github.com/ibm-skills-network/template,,
helm-charts,https://github.com/ibm-skills-network/helm-charts,helm,"Mustache,Smarty,Python"
kubernetes-deployments,https://github.com/ibm-skills-network/kubernetes-deployments,,"HCL,Shell,Ruby"
action-helmfile,https://github.com/ibm-skills-network/action-helmfile,,
.github,https://github.com/ibm-skills-network/.github,,
editor.md,https://github.com/ibm-skills-network/editor.md,,"JavaScript,HTML,CSS"
gists,https://github.com/ibm-skills-network/gists,,Python
jupyterlab-auditing-extension,https://github.com/ibm-skills-network/jupyterlab-auditing-extension,,"Python,TypeScript,CSS"
websocket-sn-service,https://github.com/ibm-skills-network/websocket-sn-service,,"TypeScript,Shell,JavaScript"
egress-whitelist-tracker,https://github.com/ibm-skills-network/egress-whitelist-tracker,,
whitesource-vulnerability-consumer,https://github.com/ibm-skills-network/whitesource-vulnerability-consumer,,"TypeScript,Shell,JavaScript"
launch-labs-lti,https://github.com/ibm-skills-network/launch-labs-lti,,"Python,HTML,Dockerfile"
action-pilot,https://github.com/ibm-skills-network/action-pilot,,
platform,https://github.com/ibm-skills-network/platform,,"JavaScript,Less,HTML"
base_adp_theme,https://github.com/ibm-skills-network/base_adp_theme,,"CSS,Liquid"
atlas,https://github.com/ibm-skills-network/atlas,atlas,"Ruby,Dockerfile,Shell"
next-instagram-pinterest,https://github.com/ibm-skills-network/next-instagram-pinterest,,"HTML,CSS,Python"
labs-learner-egress-policy-syncer,https://github.com/ibm-skills-network/labs-learner-egress-policy-syncer,,"TypeScript,Dockerfile"
skills-network,https://github.com/ibm-skills-network/skills-network,marketing,"JavaScript,CSS"
linkifier,https://github.com/ibm-skills-network/linkifier,,"TypeScript,Jupyter Notebook,Dockerfile"
jupyterlite-config,https://github.com/ibm-skills-network/jupyterlite-config,,"Shell,HTML"
cc_ai_theme,https://github.com/ibm-skills-network/cc_ai_theme,,
author-workbench-knowledgebase,https://github.com/ibm-skills-network/author-workbench-knowledgebase,"docs,faculty","JavaScript,CSS"
skillsnetwork-authoring-extension,https://github.com/ibm-skills-network/skillsnetwork-authoring-extension,,"TypeScript,Python,CSS"
storage_migrator,https://github.com/ibm-skills-network/storage_migrator,,"Elixir,Dockerfile"
jupyterlab-hub-extension,https://github.com/ibm-skills-network/jupyterlab-hub-extension,,"TypeScript,JavaScript,Python"
internal-lab-tools,https://github.com/ibm-skills-network/internal-lab-tools,,"Shell,JavaScript,Python"
wiki,https://github.com/ibm-skills-network/wiki,wiki,"JavaScript,CSS"
